,0
0,https://en.wikipedia.org//wiki/USS_San_Joaquin_(AKA-109)
1,https://en.wikipedia.org//wiki/USS_Sedgwick_(AKA-110)
2,https://en.wikipedia.org//wiki/USS_Whitfield_(AKA-111)
3,https://en.wikipedia.org//wiki/USS_Deimos_(AKL-40)
4,https://en.wikipedia.org//wiki/USS_Canopus_(AS-27)
5,https://en.wikipedia.org//wiki/USS_Tamaroa_(AT-62)
6,https://en.wikipedia.org//wiki/USS_Percival_(DD-452)
7,https://en.wikipedia.org//wiki/USS_Condor_(AM-11)
8,https://en.wikipedia.org//wiki/USS_Plover_(AM-12)
9,https://en.wikipedia.org//wiki/USS_Goshawk_(AM-42)
10,https://en.wikipedia.org//wiki/USS_Raven_(AM-49)
11,https://en.wikipedia.org//wiki/USS_Shrike_(AM-50)
12,https://en.wikipedia.org//wiki/USS_Enhance_(AM-228)
13,https://en.wikipedia.org//wiki/USS_Fortify_(AM-237)
14,https://en.wikipedia.org//wiki/USS_Illusive_(AM-243)
15,https://en.wikipedia.org//wiki/USS_Impervious_(AM-245)
16,https://en.wikipedia.org//wiki/USS_Rival_(AM-292)
17,https://en.wikipedia.org//wiki/USS_Sagacity_(AM-293)
18,https://en.wikipedia.org//wiki/USS_Minah_(AM-370)
19,https://en.wikipedia.org//wiki/USS_Albatross_(AM-391)
20,https://en.wikipedia.org//wiki/USS_Bullfinch_(AM-392)
21,https://en.wikipedia.org//wiki/USS_Firecrest_(AM-394)
22,https://en.wikipedia.org//wiki/USS_Grosbeak_(AM-397)
23,https://en.wikipedia.org//wiki/USS_Grouse_(AM-398)
24,https://en.wikipedia.org//wiki/USS_Waxbill_(AM-414)
25,https://en.wikipedia.org//wiki/USS_Linnet_(AM-417)
26,https://en.wikipedia.org//wiki/USS_Magpie_(AM-418)
27,https://en.wikipedia.org//wiki/USS_Chanticleer_(AMc-60)
28,https://en.wikipedia.org//wiki/USS_Gazelle_(BAM-17)
29,https://en.wikipedia.org//wiki/USS_Sparrow_(MHC-42)
30,https://en.wikipedia.org//wiki/USS_MSC-312
31,https://en.wikipedia.org//wiki/USS_Vagrant_(PYc-30)
32,https://en.wikipedia.org//wiki/USS_SC-419
33,https://en.wikipedia.org//wiki/USS_Cambridge_(ID-1651)
34,https://en.wikipedia.org//wiki/USS_Columbia_(1813)
35,https://en.wikipedia.org//wiki/USS_Illinois_(1864)
36,https://en.wikipedia.org//wiki/USS_Java_(1863)
37,https://en.wikipedia.org//wiki/USS_Pompanoosuc
38,https://en.wikipedia.org//wiki/USS_Greyhound_(ID-1672)
39,https://en.wikipedia.org//wiki/USS_Colington_(YFB-43)
40,https://en.wikipedia.org//wiki/USS_Catawba_(YT-32)
41,https://en.wikipedia.org//wiki/USS_Choctaw_(YT-114)
42,https://en.wikipedia.org//wiki/USS_Catawba_(YTM-32)
